순번,구분,총톤수,길이,너비,깊이,선질,용도,세부용도,선적항
1,어선,4.07 ,9.68 ,2.64 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),제주시 한경면
2,어선,4.07 ,9.68 ,2.64 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),제주시 한경면
3,어선,9.77 ,15.00 ,3.68 ,1.11 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
4,어선,9.77 ,15.00 ,3.68 ,1.11 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
5,어선,9.77 ,15.00 ,3.68 ,1.11 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
6,어선,2.45 ,8.22 ,2.36 ,0.73 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 사량면
7,어선,2.45 ,8.22 ,2.36 ,0.73 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 사량면
8,어선,1.54 ,6.71 ,2.18 ,0.79 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 약산면
9,어선,11.00 ,14.20 ,4.40 ,1.17 ,FRP,근해유자망어업,어선(근해자망어업),전남 신안군 임자면
10,어선,11.00 ,14.20 ,4.40 ,1.17 ,FRP,근해유자망어업,어선(근해자망어업),전남 신안군 임자면
11,어선,1.98 ,7.52 ,2.53 ,0.85 ,FRP,연안복합어업,어선(연안복합어업),부산시 기장군 기장읍
12,어선,9.77 ,14.40 ,3.50 ,1.20 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
13,어선,9.77 ,14.40 ,3.50 ,1.20 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
14,어선,1.83 ,7.83 ,2.68 ,0.70 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
15,어선,139.00 ,36.60 ,7.15 ,3.23 ,강,근해트롤어업,어선(대형트롤어업),부산시 서구
16,어선,1.31 ,6.57 ,2.03 ,0.75 ,FRP,어장관리선,어선(어장관리선),전남 완도군 약산면
17,어선,7.93 ,12.86 ,3.98 ,0.99 ,FRP,연안통발어업,어선(연안통발어업),인천시 중구
18,어선,1.81 ,7.60 ,2.07 ,0.59 ,FRP,연안통발어업,어선(연안통발어업),경남 남해군 남면
19,어선,4.91 ,10.23 ,2.77 ,0.97 ,FRP,복합양식어업,어선(복합양식어업),경북 울진군 평해읍
20,어선,1.47 ,7.02 ,2.43 ,0.70 ,FRP,패류양식어업,어선(패류양식어업),전남 완도군 보길면
21,어선,4.01 ,8.90 ,3.02 ,0.79 ,FRP,어장관리선,어선(어장관리선),경남 거제시 사등면
22,어선,9.77 ,13.00 ,3.20 ,1.20 ,FRP,기타어업,어선(시험 및 교습선),충청남도 보령시
23,어선,21.00 ,15.80 ,4.10 ,1.65 ,FRP,어선,어선(어선),충청남도 서천군
24,어선,4.59 ,10.07 ,3.58 ,0.69 ,FRP,어장관리선,어선(어장관리선),경남 통영시 산양읍
25,어선,4.59 ,10.07 ,3.58 ,0.69 ,FRP,어장관리선,어선(어장관리선),경남 통영시 산양읍
